slot,parent_slot,cl_client,validator_id,validator,builder,relay,date,slot_in_epoch
[6783611](https://beaconcha.in/slot/6783611),0,Unknown,0,,,,2023-07-01 16:02:35,27
[6783680](https://beaconcha.in/slot/6783680),0,Prysm,208153,,,,2023-07-01 16:16:23,0
[6783693](https://beaconcha.in/slot/6783693),0,Prysm,24738,,,,2023-07-01 16:18:59,13
[6783722](https://beaconcha.in/slot/6783722),0,Unknown,0,,,,2023-07-01 16:24:47,10
[6783809](https://beaconcha.in/slot/6783809),0,Prysm,404908,,,,2023-07-01 16:42:11,1
[6783875](https://beaconcha.in/slot/6783875),0,Teku,179585,,,,2023-07-01 16:55:23,3
[6783917](https://beaconcha.in/slot/6783917),0,Unknown,0,,,,2023-07-01 17:03:47,13
[6783945](https://beaconcha.in/slot/6783945),0,Unknown,0,,,,2023-07-01 17:09:23,9
[6783998](https://beaconcha.in/slot/6783998),0,Unknown,0,,,,2023-07-01 17:19:59,30
[6784040](https://beaconcha.in/slot/6784040),0,Unknown,0,,,,2023-07-01 17:28:23,8
[6784070](https://beaconcha.in/slot/6784070),0,Nimbus,12498,,,,2023-07-01 17:34:23,6
[6784173](https://beaconcha.in/slot/6784173),0,Unknown,0,,,,2023-07-01 17:54:59,13
[6784320](https://beaconcha.in/slot/6784320),0,Unknown,0,,,,2023-07-01 18:24:23,0
[6784399](https://beaconcha.in/slot/6784399),0,Prysm,576240,,,,2023-07-01 18:40:11,15
[6784666](https://beaconcha.in/slot/6784666),0,Unknown,0,,,,2023-07-01 19:33:35,26
[6784700](https://beaconcha.in/slot/6784700),0,Lighthouse,440607,,,,2023-07-01 19:40:23,28
[6784784](https://beaconcha.in/slot/6784784),0,Unknown,0,,,,2023-07-01 19:57:11,16
[6784850](https://beaconcha.in/slot/6784850),0,Prysm,636628,,,,2023-07-01 20:10:23,18
[6784893](https://beaconcha.in/slot/6784893),0,Prysm,571032,,,,2023-07-01 20:18:59,29
[6784907](https://beaconcha.in/slot/6784907),0,Prysm,10665,,,,2023-07-01 20:21:47,11
[6784987](https://beaconcha.in/slot/6784987),0,Lighthouse,378156,,,,2023-07-01 20:37:47,27
[6784993](https://beaconcha.in/slot/6784993),0,Unknown,0,,,,2023-07-01 20:38:59,1
