slot,validator_id,validator,builder,relay,cl_client,date,slot_in_epoch
[6432945](https://beaconcha.in/slot/6432945),546547,coinbase,,,Prysm,2023-05-13 23:09:23,17
[6433089](https://beaconcha.in/slot/6433089),445854,0x96c0858afdddf057f955e74def458315f9aa48b746347706e273b4d2072d195b983dc732a6c9093df10ecb8ab46dec96,,,Teku,2023-05-13 23:38:11,1
[6434466](https://beaconcha.in/slot/6434466),352581,bitcoin suisse,Blocknative,blocknative,Teku,2023-05-14 04:13:35,2
[6434614](https://beaconcha.in/slot/6434614),273445,coinbase,rsync-builder.xyz,bloxroute (max profit),Lighthouse,2023-05-14 04:43:11,22
[6435555](https://beaconcha.in/slot/6435555),624374,0x8b71d4a3422951e55d87b34e7c08edf8d730a943806c047b75a28f6d6d78f8e493859a9a46a181057b54e6065cff7445,rsync-builder.xyz,blocknative,Prysm,2023-05-14 07:51:23,3
[6435555](https://beaconcha.in/slot/6435555),624374,0x8b71d4a3422951e55d87b34e7c08edf8d730a943806c047b75a28f6d6d78f8e493859a9a46a181057b54e6065cff7445,rsync-builder.xyz,bloxroute (max profit),Prysm,2023-05-14 07:51:23,3
[6435555](https://beaconcha.in/slot/6435555),624374,0x8b71d4a3422951e55d87b34e7c08edf8d730a943806c047b75a28f6d6d78f8e493859a9a46a181057b54e6065cff7445,rsync-builder.xyz,bloxroute (regulated),Prysm,2023-05-14 07:51:23,3
[6436261](https://beaconcha.in/slot/6436261),318622,stakefish,rsync-builder.xyz,bloxroute (max profit),Lighthouse,2023-05-14 10:12:35,5
[6436372](https://beaconcha.in/slot/6436372),336129,stakewise,Blocknative,blocknative,Lighthouse,2023-05-14 10:34:47,20
[6436450](https://beaconcha.in/slot/6436450),54636,0xac3f10633cfac41d78d3a533637299b8b3956ad4498a52d66f7df1b8df0d1bdb6e1c1aa61993455c1dacaca8514bb5dd,rsync-builder.xyz,bloxroute (max profit),Lighthouse,2023-05-14 10:50:23,2
[6436485](https://beaconcha.in/slot/6436485),365560,bitcoin suisse,rsync-builder.xyz,bloxroute (max profit),Teku,2023-05-14 10:57:23,5
[6436485](https://beaconcha.in/slot/6436485),365560,bitcoin suisse,rsync-builder.xyz,blocknative,Teku,2023-05-14 10:57:23,5
[6436520](https://beaconcha.in/slot/6436520),321440,missed,,,Nimbus,2023-05-14 11:04:23,8
[6436521](https://beaconcha.in/slot/6436521),322459,0xacbd591abf0afe5e426800e326647d4f6119b0fa115e86be11a342b74f579d2aff921f2c72a48b542e50f0fea813af5b,Blocknative,blocknative,Lighthouse,2023-05-14 11:04:35,9
[6436545](https://beaconcha.in/slot/6436545),528148,figment,,,Lighthouse,2023-05-14 11:09:23,1
[6436631](https://beaconcha.in/slot/6436631),270910,lido,Blocknative,blocknative,Prysm,2023-05-14 11:26:35,23
[6436716](https://beaconcha.in/slot/6436716),622444,binance,Blocknative,blocknative,Prysm,2023-05-14 11:43:35,12
[6436994](https://beaconcha.in/slot/6436994),468556,binance,Blocknative,blocknative,Prysm,2023-05-14 12:39:11,2
[6437171](https://beaconcha.in/slot/6437171),386206,stakewise,Blocknative,blocknative,Teku,2023-05-14 13:14:35,19
[6437840](https://beaconcha.in/slot/6437840),70234,lido,Blocknative,blocknative,Lighthouse,2023-05-14 15:28:23,16
[6439010](https://beaconcha.in/slot/6439010),299203,lido,Blocknative,blocknative,Nimbus,2023-05-14 19:22:23,2
[6440605](https://beaconcha.in/slot/6440605),147228,0x89b9ed9838cd3c9c1d2df12fd4784da737a8b5532330f52b1efc9f3a97360995d467dd6a4188deb5b333e19f72590fad,,,Prysm,2023-05-15 00:41:23,29
[6440628](https://beaconcha.in/slot/6440628),250591,lido,beaverbuild.org,bloxroute (max profit),Lighthouse,2023-05-15 00:45:59,20
